name,altname:science,altname:en,altname:nl,altname:de,altname:fr,altname:es,altname:eo,altname:ru
Phalacrocorax carbo,,,,,,,,
Luscinia svecica,,,,,,,,
Circus cyaneus,,,,,,,,
Ardea cinerea,,,,,,,,
Hirundo rustica,,,,,,,,
Corvus cornix,,,,,,,,
Sitta europaea,,,,,,,,
Certhia brachydactyla,,,,,,,,
Falco subbuteo,,,,,,,,
Strix aluco,,,,,,,,
Branta leucopsis,,,,,,,,
Circus aeruginosus,,,,,,,,
Buteo buteo,,,,,,,,
Tachybaptus ruficollis,,,,,,,,
Pica pica,,,,,,,,
Phasianus colchicus,,,,,,,,
Podiceps cristatus,,,,,,,,
Garrulus glandarius,,,,,,,,
Podiceps nigricollis,,,,,,,,
Anser anser,,,,,,,,
Picus viridis,,,,,,,,
Dendrocopos major,,,,,,,,
Branta canadensis,,,,,,,,
Turdus viscivorus,,,,,,,,
Larus marinus,,,,,,,,
Ardea alba,,,,,,,,
Limosa limosa,,,,,,,,
Accipiter gentilis,,,,,,,,
Prunella modularis,,,,,,,,
Columba oenas,,,,,,,,
Columba palumbus,,,,,,,,
Passer domesticus,,,,,,,,
Delichon urbicum,,,,,,,,
Corvus monedula,,,,,,,,
Tyto alba,,,,,,,,
Vanellus vanellus,,,,,,,,
Dendrocopos minor,,,,,,,,
Acrocephalus scirpaceus,,,,,,,,
Larus fuscus,,,,,,,,
Cygnus columbianus bewickii,,,,,,,,
Cygnus olor,,,,,,,,
Chroicocephalus ridibundus,,,,,,,,
Anser albifrons,,,,,,,,
Parus major,,,,,,,,
Anas strepera,,,,,,,,
Aythya fuligula,,,,,,,,
Coturnix coturnix,,,,,,,,
Fulica atra,,,,,,,,
Turdus merula,,,,,,,,
Dendrocopos medius,,,,,,,,
Alopochen aegyptiaca,,,,,,,,
Bubo bubo,,,,,,,,
Riparia riparia,,,,,,,,
Perdix perdix,,,,,,,,
Cyanistes caeruleus,,,,,,,,
Ardea purpurea,,,,,,,,
Carduelis carduelis,,,,,,,,
Corvus corax,,,,,,,,
Asio otus,,,,,,,,
Numenius phaeopus,,,,,,,,
Emberiza schoeniclus,,,,,,,,
Acrocephalus schoenobaenus,,,,,,,,
Passer montanus,,,,,,,,
Corvus frugilegus,,,,,,,,
Erithacus rubecula,,,,,,,,
Haematopus ostralegus,,,,,,,,
Falco peregrinus,,,,,,,,
Anas clypeata,,,,,,,,
Anas penelope,,,,,,,,
Accipiter nisus,,,,,,,,
Sturnus vulgaris,,,,,,,,
Columba livia domestica,,,,,,,,
Athene noctua,,,,,,,,
Larus canus,,,,,,,,
Falco tinnunculus,,,,,,,,
Tringa totanus,,,,,,,,
Streptopelia decaocto,,,,,,,,
Asio flammeus,,,,,,,,
Fringilla coelebs,,,,,,,,
Pandion haliaetus,,,,,,,,
Gallinula chloropus,,,,,,,,
Pernis apivorus,,,,,,,,
Anas platyrhynchos,,,,,,,,
Cygnus cygnus,,,,,,,,
Troglodytes troglodytes,,,,,,,,
Numenius arquata,,,,,,,,
Turdus philomelos,,,,,,,,
Haliaeetus albicilla,,,,,,,,
Larus argentatus,,,,,,,,
Corvus corone,,,,,,,,
Dryocopus martius,,,,,,,,
Sylvia atricapilla,,,,,,,,
Poecile palustris,,,,,,,,
Poecile montanus,,,,,,,,
Alcedo atthis,,,,,,,,
Aegithalos caudatus,,,,,,,,
Anas crecca,,,,,,,,
Cuculus canorus,,,,,,,,
Motacilla alba,,,,,,,,
Phylloscopus collybita,,,,,,,,
Phylloscopus trochilus,,,,,,,,
Coccothraustes coccothraustes,,,,,,,,
Aythya ferina,,,,,,,,
Tringa ochropus,,,,,,,,
Chloris chloris,,,,,,,,
Emberiza citrinella,,,,,,,,
Spinus spinus,,,,,,,,
Ichthyaetus melanocephalus,,,,,,,,
Sylvia communis,,,,,,,,
Sylvia borin,,,,,,,,
Acrocephalus palustris,,,,,,,,
Anthus pratensis,,,,,,,,
Alauda arvensis,,,,,,,,
Motacilla flava,,,,,,,,
Regulus regulus,,,,,,,,
Linaria cannabina,,,,,,,,
Apus apus,,,,,,,,
Anthus trivialis,,,,,,,,
Pyrrhula pyrrhula,,"common bullfinch, bullfinch",,"Dompfaff, Blutfink",,,"pirulo, Eŭrazia pirolo",обыкнове́нный снеги́рь
Phoenicurus ochruros,,,,,,,,
Turdus pilaris,,,,,,,,
Milvus milvus,,,,,,,,
Ciconia ciconia,,,,,,,,
Mergus merganser,,,,,,,,
Periparus ater,,,,,,,,
Motacilla cinerea,,,,,,,,
Bucephala clangula,,,,,,,,
Larus michahellis,,,,,,,,
Milvus migrans,,,,,,,,
Grus grus,,,,,,,,
