name,altname:science,altname:en,altname:nl,altname:de,altname:fr,altname:es,altname:eo,altname:ru
Accipiter gentilis,,,,,,,,
Accipiter nisus,,"northern sparrowhawk, sparrowhawk",,,,,,ма́лый я́стреб
Acrocephalus palustris,,,,,,,,куста́рниковая камышовка
Acrocephalus schoenobaenus,,,,,,,,
Acrocephalus scirpaceus,,reed warbler,,,,,,
Aegithalos caudatus,,long-tailed bushtit,,,,,,ополо́вник
Alauda arvensis,,,,,,,,обыкновенный полевой жаворонок
Alcedo atthis,,"Eurasian kingfisher, river kingfisher",,,,,,голубо́й зиморо́док
Alopochen aegyptiaca,,,,,,,,еги́петский гусь
Spatula clypeata,Anas clypeata,shoveller,,,,,,
Anas crecca,,"common teal, Eurasian green-winged teal, teal",,,,,,
Mareca penelope,Anas penelope,widgeon,,,,,,
Anas platyrhynchos,,,,,,,,
Mareca strepera,Anas strepera,,,,,,,
Anser albifrons,,"white-fronted goose, greater white-fronted goose, specklebelly",,,,,,
Anser anser,,,,,,,,
Anthus pratensis,,,,,,,,
Anthus trivialis,,,,,,,,лесна́я шеври́ца
Apus apus,,,,,,,,ба́шенный стриж
Ardea alba,,"common egret, large egret, great white egret, great white heron",,,,,,
Ardea cinerea,,,,,,,,
Ardea purpurea,,,,,,,,
Asio flammeus,,,,,,,,
Asio otus,,"northern long-eared owl, lesser horned owl, cat owl",,,,,,
Athene noctua,,owl of Minerva,,,,,,
Aythya ferina,,,,,,,,
Aythya fuligula,,,,,,,,
Branta canadensis,,,,,,,,
Branta leucopsis,,,,,,,,
Bubo bubo,,"European eagle-owl, eagle-owl",,,,,,
Bucephala clangula,,,,,,,,
Buteo buteo,,,,,,,,сары́ч
Carduelis carduelis,,goldfinch,,,,,,обыкнове́нный щего́л
Certhia brachydactyla,,,,,,,,садо́вая пищу́ха
Chloris chloris,,greenfinch,,,,,,
Chroicocephalus ridibundus,,,,,,,,"обыкнове́нная ча́йка, речна́я ча́йка"
Ciconia ciconia,,,,,,,,
Circus aeruginosus,,eurasian marsh harrier,,,,,,камышо́вый лунь
Circus cyaneus,,,,,,,,обыкнове́нный лунь
Coccothraustes coccothraustes,,,,,,,,
Columba livia domestica,,,,,,,,
Columba oenas,,,,,,,,
Columba palumbus,,culver,,,,,,ви́тю́тень
Corvus corax,,"western raven, northern raven",,,,,,
Corvus cornix,,hoodie,,,,,,
Corvus corone,,,,,,,,
Corvus frugilegus,,,,,,,,
Corvus monedula,,"Eurasian jackdaw, European jackdaw, jackdaw",,,,,,
Coturnix coturnix,,European quail,,,,,,перепёлка
Cuculus canorus,,,,,,,,
Cyanistes caeruleus,,,,,,,,"зелёная лазо́ревка, лазо́ревка, синяя синица"
Cygnus columbianus bewickii,,,,,,,,ту́ндровый ле́бедь
Cygnus cygnus,,common swan,,,,,,
Cygnus olor,,,,,,,,
Delichon urbicum,,"northern house martin, house martin",,,,,,вороно́к
Dendrocopos major,,,,,,,,пёстрый дя́тел
Dendrocoptes medius,"Dendrocopos medius, Leiopicus medius",,,,,,,"сре́дний дя́тел, вертля́вый дя́тел"
Dryobates minor,Dendrocopos minor,,,,,,,ма́лый дя́тел
Dryocopus martius,,,,,,,,"чёрный дя́тел, пчелово́р"
Emberiza citrinella,,,,,,,,
Emberiza schoeniclus,,,,,,,,"камы́шник, тростнико́вая овся́нка"
Erithacus rubecula,,"robin, robin redbreast",,,,,,мали́новка
Falco peregrinus,,"peregrine, duck hawk",,,,,,
Falco subbuteo,,hobby,,,,,,
Falco tinnunculus,,"European kestrel, Eurasian kestrel, Old World kestrel, kestrel",,,,,,
Fringilla coelebs,,chaffinch,,,,,,
Fulica atra,,"common coot, Australian coot",,,,,,лы́ска
Gallinula chloropus,,"waterhen, swamp chicken",,,,,,
Garrulus glandarius,,,,,,,,"обыкнове́нная со́йка,кареза"
Grus grus,,Eurasian crane,,,,,,
Haematopus ostralegus,,"common pied oystercatcher, palaearctic oystercatcher, oystercatcher",,,,,,
Haliaeetus albicilla,,"ern, erne, gray sea eagle, Eurasian sea eagle, white-tailed sea-eagle",,,,,,
Hirundo rustica,,,,,,,,ла́сточка-каса́тка
Ichthyaetus melanocephalus,,,,,,,,
Larus argentatus,,,,,,,,
Larus canus,,"mew gull, sea mew",,,,,,
Larus fuscus,,,,,,,,
Larus marinus,,,,,,,,
Larus michahellis,,,,,,,,
Limosa limosa,,,,,,,,боло́тный кули́к
Linaria cannabina,,,,,,,,реполо́в
Luscinia svecica,,,,,,,,
Mergus merganser,,goosander,,,,,,
Milvus migrans,,,,,,,,
Milvus milvus,,,,,,,,
Motacilla alba,,"pied wagtail, water wagtail",,,,,,
Motacilla cinerea,,,,,,,,
Motacilla flava,,,,,,,,пли́ска
Numenius arquata,,common curlew,,,,,,
Numenius phaeopus,,,,,,,,
Pandion haliaetus,,"western osprey, sea hawk, river hawk, fish hawk",,,,,,
Parus major,,,,,,,,больша́к
Passer domesticus,,,,,,,,
Passer montanus,,"tree sparrow, German sparrow",,,,,,
Perdix perdix,,"English partridge, Hungarian partridge, hun",,,,,,
Periparus ater,,cole tit,,,,,,"чёрная сини́ца, сини́ца-моско́вка, мохо́вка"
Pernis apivorus,,,,,,,,"камышовая, водяная, болотная курочка, лы́ска"
Phalacrocorax carbo,,black shag,,,,,,
Phasianus colchicus,,,,,,,,кавка́зский фаза́н
Phoenicurus ochruros,,"Tithy's redstart, blackstart, black redtail",,,,,,
Phylloscopus collybita,,chiffchaff,,Weidenlaubsänger,,,,"тенько́вка, пе́ночка-кузне́чик"
Phylloscopus trochilus,,,,,,,,
Pica pica,,common magpie,,,,,,"обыкнове́нная соро́ка,европе́йская соро́ка"
Picus viridis,,,,,,,,
Podiceps cristatus,,,,,,,,чо́мга
Podiceps nigricollis,,eared grebe,,,,,,
Poecile montanus,,,,,,,,пухля́к
Poecile palustris,,,,,,,,"боло́тная га́ичка, га́ичка"
Prunella modularis,,"hedge accentor, hedge sparrow, hedge warbler",,,,,,
Pyrrhula pyrrhula,,"common bullfinch, bullfinch",,"Dompfaff, Blutfink",,,"pirulo, Eŭrazia pirolo",обыкнове́нный снеги́рь
Regulus regulus,,,,,,,,
Riparia riparia,,"European sand martin, bank swallow, collared sand martin",,,,,,берегова́я ла́сточка
Sitta europaea,,wood nuthatch,,,,,,ямщи́к
Spinus spinus,,"European siskin, common siskin, siskin",,,,,,
Streptopelia decaocto,,,,,,,,
Strix aluco,,brown owl,,,,,,обыкнове́нная нея́сыть
Sturnus vulgaris,,"European starling, starling",,,,,,
Sylvia atricapilla,,blackcap,,,,,,"сла́вка-черноголо́вка, черноголо́вка"
Sylvia borin,,,,,,,,
Curruca communis,,,,,,,,
Tachybaptus ruficollis,Podiceps ruficollis,dabchick,,,,,,
Tringa ochropus,,,,,,,,
Tringa totanus,,redshank,,,,,,красноно́жка
Troglodytes troglodytes,,wren,,,,,,"подкоре́нник, оре́шек"
Turdus merula,,"Eurasian blackbird,  blackbird",,,,,,
Turdus philomelos,,,,,,,,
Turdus pilaris,,,,,,,,дрозд-рябинник
Turdus viscivorus,,,,,,,,
Tyto alba,,,,,,,,
Vanellus vanellus,,"peewit, pewit, tuit, tew-it, green plover, pyewipe, lapwing",,,,,,пи́галица
