name,appearance:en,appearance:nl,appearance:de,appearance:fr,appearance:es,appearance:eo,appearance:ru
Phalacrocorax carbo,,,,,,,
Luscinia svecica,,,,,,,
Circus cyaneus,"Harrier species:<div>Compared to other accipitrine species with long wings and tail.</div><div><i>Western marsh harrier/bruine kiekendief</i>: male with a lot of light on chest and wings, female darker but very variable, shoulders and back often contrast with wings and tail (shoulders/back darker for male, lighter for female);</div><div><i>hen harrier/blauwe kiekendief</i>: male gray, slightly lighter on underside, darker at tail and tip of wings, female brown on top, white at base of tail, chest beige with brown lines.</div>",,,,,,
Ardea cinerea,"In flight, hard to distinguish from purple heron/purperreiger (if colors cannot be distinguished), but has shorter toes that are more bunched together, a shorter, wider beak, and its throat does not sag as much.",,,,,,
Hirundo rustica,"Swallow/martin species:<div><i>barn swallow/boerenzwaluw</i>:&nbsp;reddish brown face, black head and back, cream-colored underside, fewest trills in chirp-like song and calls;</div><div><i>common house martin/huiszwaluw</i>: shoulders and top of head a metallic dark blue color, wings and tail brown, rest white, song and calls are like chirps with a lot of trill;</div><div><i>sand martin/oeverzwaluw</i>:&nbsp;somewhat similar to common house martin/huiszwaluw but with&nbsp;brown on chest and where the other is metallic dark blue, sand martin/overzwaluw just has more brown, song and calls are least sonorous/chirpy, almost only trill-like sounds.</div>",,,,,,
Corvus cornix,"Corvine species:<div><i>Carrion crow/zwarte kraai</i>:&nbsp;fairly large, black;</div><div><i>Hooded crow/bonte kraai</i>:&nbsp;black and white;</div><div><i>Western jackdaw/kauw</i>:&nbsp;smaller, darker black on forehead and light grey in neck;</div><div><i>Rook/roek</i>:&nbsp;similar to carrion crow but with pointy head and bald white spot at base of beak;</div><div><i>Common&nbsp;raven/raaf</i>:&nbsp;larger than carrion crow with heavier, furred beak.</div>",,,,,,
Sitta europaea,,,,,,,
Certhia brachydactyla,,,,,,,
Falco subbuteo,"<div>Falcon species:<br></div><div><div><i>peregrine falcon/slechtvalk</i>: largest of three, white underside of body banded with black (except around throat); gray top of body, black top of head, black extension below eye wider than for Eurasian hobby/boomvalk;</div><div><i>common kestrel/torenvalk</i>: back orange-red with black spots, ends of wings black, tail gray (male) or gray moving to orange at the back banded with black (female), black tip of tail for both genders, top of head blue-gray (male) or orange-gray (female);</div><div><i>Eurasian hobby/boomvalk</i>: smallest of three, back dark bluish gray color, rusty red feathers around and behind feet (beige for juveniles).</div></div>",,,,,,
Strix aluco,,,,,,,
Branta leucopsis,,,,,,,
Circus aeruginosus,"Harrier species:<div>Compared to other accipitrine species with long wings and tail.</div><div><i>Western marsh harrier/bruine kiekendief</i>: male with a lot of light on chest and wings, female darker but very variable, shoulders and back often contrast with wings and tail (shoulders/back darker for male, lighter for female);</div><div><i>hen harrier/blauwe kiekendief</i>: male gray, slightly lighter on underside, darker at tail and tip of wings, female brown on top, white at base of tail, chest beige with brown lines.</div>",,,,,,
Buteo buteo,"Accipitrine species:<div><i>common buzzard/buizerd</i>: variable colors, ranges from very dark to very light, broad wings, off-white tail with dense gray bands, slightly U-shaped light band on chest;</div><div><i>European honey buzzard/wespendief</i>: at distance similar to common buzzard/buizerd, but slightly bigger and longer wings, thin neck, head forward in flight, variable colors, no light band on chest;</div><div><i>white-tailed eagle/zeearend</i>: very large, with long, wide wings, short wedge-shaped tail with white at the end, brown with a lighter, yellow-brown head and throat, yellow beak;<br></div><div><i>northern goshawk/havik</i>: female: significantly larger, slate-colored back; male: smaller, blue-gray back; both: white underside with fine gray bands, white brow line across dark top of head and ear region;<br></div><div><i>Eurasian sparrowhawk/sperwer</i>: much smaller than northern goshawk/havik; female: larger, not as large as male northern goshawk/havik, yet similar, but with narrow base of tail, more rectangular end of tail, bigger head, shorter neck, slimmer body; female also slate-colored back, brown-gray bands on white underside; male: slate-colored back sometimes a bit bluish, rust-colored cheeks, rust-colored bands on light underside.</div>",,,,,,
Tachybaptus ruficollis,,,,,,,
Pica pica,,,,,,,
Phasianus colchicus,,,,,,,
Podiceps cristatus,,,,,,,
Garrulus glandarius,,,,,,,
Podiceps nigricollis,,,,,,,
Anser anser,,,,,,,
Picus viridis,"Male with red spot on cheek, female without.",,,,,,
Dendrocopos major,"Spotted woodpeckers:<div><i>Great spotted woodpecker/grote bonte specht</i>: red lower belly (especially male), male red breast with black spots, male red back of head, female black, top of head always black (except juvenile);</div><div><i>Middle spotted woodpecker/middelste bonte specht</i>: red top of head&nbsp;(further back into the neck for male), black stripes on belly, pale red lower belly;</div><div><i>Lesser spotted woodpecker/kleine bonte specht</i>:&nbsp;black stripes on belly,&nbsp;no red on lower belly; male top of head red, female black, white parts on shoulder/wing banded with black, unlike other two species.</div>",,,,,,
Branta canadensis,,,,,,,
Turdus viscivorus,"<i>Turdus</i>&nbsp;species:<div><i>common blackbird/merel</i>: dark in color (black for male, dark brown for female) with bright beak (yellow, especially for male). Song highly varied, clear tones, often ends shrill and high;</div><div><i>song thrush/zanglijster</i>: fairly small, brighter, dark carets on creamy white chest. Song highly varied, recognizable by its repetitions of the same notes a few times;</div><div><i>mistle thrush/grote lijster</i>: as&nbsp;<i>song thrush/zanglijster</i>&nbsp;but noticeably bigger, with a longer tail, white spot on the underside of the wing and generally paler in color. If size is hard to determine, the rounded shape of the spots on its underside are most noticeable, compared to V-shaped spots for&nbsp;<i>song thrush/zanglijster</i>.&nbsp;Also tends to stand in a more upright position.&nbsp;Song a bit like&nbsp;<i>common blackbird/merel</i>, but slightly louder and faster, with a smaller tonal range, usually without the final high notes, and overall a bit more melancholy in tone.</div>",,,,,,
