,name,song_1,song_2,song_3,song_4,song_5,call_1,call_2,call_3,call_4,call_5
0,Accipiter gentilis,,,,,,[sound:Accipiter_gentilis_call_1.mp3],,,,
1,Accipiter nisus,,,,,,[sound:Accipiter_nisus_call_1.mp3],,,,
2,Acrocephalus palustris,[sound:Acrocephalus_palustris_song_1.mp3],,,,,,,,,
3,Acrocephalus schoenobaenus,[sound:Acrocephalus_schoenobaenus_song_1.mp3],,,,,[sound:Acrocephalus_schoenobaenus_call_1.mp3],,,,
4,Acrocephalus scirpaceus,[sound:Acrocephalus_scirpaceus_song_1.mp3],,,,,[sound:Acrocephalus_scirpaceus_call_1.mp3],,,,
5,Aegithalos caudatus,[sound:Aegithalos_caudatus_song_1.mp3],,,,,[sound:Aegithalos_caudatus_call_1.mp3],,,,
6,Alauda arvensis,[sound:Alauda_arvensis_song_1.mp3],,,,,[sound:Alauda_arvensis_call_1.mp3],,,,
7,Alcedo atthis,[sound:Alcedo_atthis_song_1.mp3],,,,,[sound:Alcedo_atthis_call_1.mp3],,,,
8,Alopochen aegyptiaca,,,,,,[sound:Alopochen_aegyptiaca_call_1.mp3],,,,
9,Spatula clypeata,,,,,,[sound:Anas_clypeata_call_1.mp3],,,,
10,Anas crecca,,,,,,[sound:Anas_crecca_call_1.mp3],,,,
11,Mareca penelope,,,,,,[sound:Anas_penelope_call_1.mp3],,,,
12,Anas platyrhynchos,,,,,,[sound:Anas_platyrhynchos_call_1.mp3],,,,
13,Mareca strepera,,,,,,[sound:Anas_strepera_call_1.mp3],,,,
14,Anser albifrons,,,,,,[sound:Anser_albifrons_call_1.mp3],,,,
15,Anser anser,,,,,,[sound:Anser_anser_call_1.mp3],,,,
16,Anthus pratensis,[sound:Anthus_pratensis_song_1.mp3],,,,,[sound:Anthus_pratensis_call_1.mp3],,,,
17,Anthus trivialis,[sound:Anthus_trivialis_song_1.mp3],,,,,[sound:Anthus_trivialis_call_1.mp3],,,,
18,Apus apus,,,,,,[sound:Apus_apus_call_1.mp3],,,,
19,Ardea alba,,,,,,[sound:Ardea_alba_call_1.mp3],,,,
20,Ardea cinerea,,,,,,[sound:Ardea_cinerea_call_1.mp3],,,,
21,Ardea purpurea,,,,,,[sound:Ardea_purpurea_call_1.mp3],,,,
22,Asio flammeus,[sound:Asio_flammeus_song_1.mp3],,,,,[sound:Asio_flammeus_call_1.mp3],,,,
23,Asio otus,[sound:Asio_otus_song_1.mp3],,,,,[sound:Asio_otus_call_1.mp3],,,,
24,Athene noctua,[sound:Athene_noctua_song_1.mp3],,,,,[sound:Athene_noctua_call_1.mp3],,,,
25,Aythya ferina,,,,,,[sound:Aythya_ferina_call_1.mp3],,,,
26,Aythya fuligula,,,,,,[sound:Aythya_fuligula_call_1.mp3],,,,
27,Branta canadensis,,,,,,[sound:Branta_canadensis_call_1.mp3],,,,
28,Branta leucopsis,,,,,,[sound:Branta_leucopsis_call_1.mp3],,,,
29,Bubo bubo,[sound:Bubo_bubo_song_1.mp3],,,,,[sound:Bubo_bubo_call_1.mp3],,,,
30,Buteo buteo,,,,,,[sound:Buteo_buteo_call_1.mp3],,,,
31,Carduelis carduelis,[sound:Carduelis_carduelis_song_1.mp3],,,,,[sound:Carduelis_carduelis_call_1.mp3],,,,
32,Certhia brachydactyla,[sound:Certhia_brachydactyla_song_1.mp3],,,,,[sound:Certhia_brachydactyla_call_1.mp3],,,,
33,Chloris chloris,[sound:Chloris_chloris_song_1.mp3],,,,,[sound:Chloris_chloris_call_1.mp3],,,,
34,Chroicocephalus ridibundus,,,,,,[sound:Chroicocephalus_ridibundus_call_1.mp3],,,,
35,Circus aeruginosus,,,,,,[sound:Circus_aeruginosus_call_1.mp3],,,,
36,Circus cyaneus,,,,,,[sound:Circus_cyaneus_call_1.mp3],,,,
37,Coccothraustes coccothraustes,[sound:Coccothraustes_coccothraustes_song_1.mp3],,,,,[sound:Coccothraustes_coccothraustes_call_1.mp3],,,,
38,Columba livia domestica,[sound:Columba_livia_domestica_song_1.mp3],,,,,,,,,
39,Columba oenas,[sound:Columba_oenus_song_1.mp3],,,,,,,,,
40,Columba palumbus,[sound:Columba_palumbus_song_1.mp3],,,,,,,,,
