name,lang,,,,
Turdus merula,en,"During their sleep, blackbirds are capable of maintaining one hemisphere of their brain awake.",,,
Turdus merula,nl,,,,
Turdus merula,de,Amseln können während des Schlafs eine Gehirnhälfte aktiv halten.,Amseln fangen schon 45 Minuten vor Sonnenaufgang an zu singen. In Städten können sie aufgrund von Lichtverschmutzung allerdings auch nachts singen.,Die Amsel war bis noch vor 150 Jahren ein scheuer Waldbewohner.,Stadtamseln starten ihre Brut früher als Waldamseln.
Turdus merula,fr,,,,
Turdus merula,es,,,,
Turdus merula,eo,,,,
Turdus merula,ru,Во время сна чёрные дрозды способны поддерживать в бодрствующем состоянии одно полушарие своего мозга.,,,
Parus major,en,,,,
Parus major,nl,,,,
Parus major,de,"Meisen bauen ihr Nest zwar meist in Baumhöhlen, nicht selten nutzen sie aber auch Briefkästen.",,,
Parus major,fr,,,,
Parus major,es,,,,
Parus major,eo,,,,
Parus major,ru,,,,
Corvus corone,en,,,,
Corvus corone,nl,,,,
Corvus corone,de,,,,
Corvus corone,fr,,,,
Corvus corone,es,,,,
Corvus corone,eo,,,,
Corvus corone,ru,,,,
Columba palumbus,en,,,,
Columba palumbus,nl,,,,
Columba palumbus,de,,,,
Columba palumbus,fr,,,,
Columba palumbus,es,,,,
Columba palumbus,eo,,,,
Columba palumbus,ru,,,,
Cyanistes caeruleus,en,,,,
Cyanistes caeruleus,nl,,,,
Cyanistes caeruleus,de,Blaumeisen wiegen nur ungefähr so viel wie zwei 20-Cent-Münzen. Bei diesem Fliegengewicht können sie sich auch an dünnen Zweigen kopfüber entlang hangeln.,,,
Cyanistes caeruleus,fr,,,,
Cyanistes caeruleus,es,,,,
Cyanistes caeruleus,eo,,,,
Cyanistes caeruleus,ru,,,,
Fringilla coelebs,en,,,,
Fringilla coelebs,nl,,,,
Fringilla coelebs,de,Buchfinken haben unterschiedliche regionale Dialekte.,,,
Fringilla coelebs,fr,,,,
Fringilla coelebs,es,,,,
Fringilla coelebs,eo,,,,
Fringilla coelebs,ru,,,,
Anas platyrhynchos,en,,,,
Anas platyrhynchos,nl,,,,
Anas platyrhynchos,de,Die Weibchen brüten auch immer mal wieder in Balkonkästen. Feuerwehr oder Naturschützer bringen dann Entenmutter und Küken nach dem Schlupf zum nächsten Teich.,,,
Anas platyrhynchos,fr,,,,
Anas platyrhynchos,es,,,,
Anas platyrhynchos,eo,,,,
Anas platyrhynchos,ru,,,,
Erithacus rubecula,en,,,,
Erithacus rubecula,nl,,,,
Erithacus rubecula,de,,,,
Erithacus rubecula,fr,,,,
Erithacus rubecula,es,,,,
Erithacus rubecula,eo,,,,
Erithacus rubecula,ru,,,,
Pica pica,en,,,,
Pica pica,nl,,,,
Pica pica,de,"Zu den üblichen Balzritualen von Elstern zählen Gefiederkraulen, Schnäbeln und Balzfüttern. Die Paare bleiben oft lebenslang zusammen.",,,
Pica pica,fr,,,,
Pica pica,es,,,,
Pica pica,eo,,,,
Pica pica,ru,,,,
Sturnus vulgaris,en,,,,
Sturnus vulgaris,nl,,,,
Sturnus vulgaris,de,"Der Star baut andere Tierlaute in seinen Gesang ein. Kenner*innen können heraushören, welche Arten in seinem Umfeld leben.",,,
Sturnus vulgaris,fr,,,,
Sturnus vulgaris,es,,,,
Sturnus vulgaris,eo,,,,
Sturnus vulgaris,ru,,,,
Dendrocopos major,en,,,,
Dendrocopos major,nl,,,,
Dendrocopos major,de,"Es soll Spechtschmieden geben, unter denen schon mehrere Tausend leere Kiefern- und Fichtenzapfen gefunden wurden.",,,
Dendrocopos major,fr,,,,
Dendrocopos major,es,,,,
Dendrocopos major,eo,,,,
Dendrocopos major,ru,,,,
Passer domesticus,en,,,,
Passer domesticus,nl,,,,
Passer domesticus,de,"Im 19. Jahrhundert gab es eine Spatzensteuer von 20 Spatzenköpfen, da sie als Schmarotzer galten, die den Menschen die Samen auf den Feldern wegfressen.",,,
Passer domesticus,fr,,,,
Passer domesticus,es,,,,
Passer domesticus,eo,,,,
Passer domesticus,ru,,,,
Buteo buteo,en,,,,
