en,nl,de,fr,es,eo,ru
insects,,Insekten,,,,насекомые 
seeds,,Samen,,,,семена
buds,,Knospen,,,,бутоны
small birds,,kleine Vögel,,,,мелкие птицы
fish,,Fische,,,,рыба
beetles,,Käfer,,,,жуки
fruits,,Früchte,,,,фрукты
earthworms,,Regenwürmer,,,,черви
berries,,Beeren,,,,ягоды
caterpillars,,Raupen,,,,гусеницы
grain,,Körner,,,,зерно
small mammals ,,kleine Säugetiere,,,,мелкие млекопитающие
amphibians,,Amphibien,,,,земноводные
scraps ,,Abfälle,,,,отходы
leaves,,Blätter,,,,листья
grubs ,,Larven,,,,личинки
carrion,,Aas,,,,падаль
mice,,Mäuse,,,,мыши
voles,,Wühlmäuse,,,,полёвки
shrews ,,Spitzmäuse,,,,землеройки
snails,,Schnecken,,,,улитки
vegetation ,,Pflanzen,,,,растительность
eel-grass,,Seegras,,,,морская трава
birds,,Vögel,,,,птицы
shoots ,,Pflanzentriebe,,,,побеги
stems,,Stängel,,,,стебли
molluscs,,Weichtiere,,,,моллюски
acorns,,Eicheln,,,,жёлуди
plants,,Pflanzen,,,,растения
shellfish,,Schalentiere,,,,моллюски
worms,,Würmer,,,,черви
small invertebrates,,kleine wirbellose Tiere,,,,мелкие беспозвоночные
omnivore,,Allesfresser,,,,всеядные
scavenger,,Aasresser,,,,падальщики
nestlings of other birds,,Nestlinge anderer Vögel,,,,птенцы других птиц
ducklings,,Entenküken,,,,утята
rodents,,Nagetiere,,,,грызуны
hazel nuts,,Haselnüsse,,,,лесной орех
beechmast,,Bucheckern,,,,буковый орех
insect larvae,,Insektenlarven,,,,личинки насекомых
water plants,,Wasserpflanzen,,,,водные растения
cereals,,Getreide,,,,злаки
grass,,Gras,,,,трава
young birds,,Jungvögel,,,,молодые птицы
eggs,,Eier,,,,яйца
flying insects,,fliegende Insekten,,,,летающие насекомые
airborne spiders,,fliegende Spinnen,,,,воздушные пауки
small fish,,kleine Fische,,,,мелкая рыба
aquatic insects,,Wasserinsekten,,,,водные насекомые
offal,,Fleischabfälle,,,,потроха
hairy caterpillars,,behaarte Raupen,,,,волосатые гусеницы
flies,,Fliegen,,,,мухи
moths ,,Motten,,,,мотыльки
rubbish,,Abfall,,,,отбросы
aquatic snails,,Wasserschnecken,,,,водные улитки
moth eggs,,Motteneier,,,,яйца моли
bats,,Fledermäuse,,,,летучие мыши
slugs,,Nacktschnecken,,,,слизни
blackberries,,Blaubeeren,,,,ежевика
ants,,Ameisen,,,,муравьи
clover,,Klee,,,,клевер
potatoes,,Kartoffeln,,,,картофель
wheat,,Weizen,,,,пшеница
seeds of aquatic vegetation,,Samen von Wasserpflanzen,,,,семена водной растительности
shrimps,,Garnelen,,,,креветки
butterflies,,Schmetterlinge,,,,бабочки
damselflies,,kleine Libellen,,,,стрекозы
crane flies,,Erdschnaken,,,,комары-долгоножки
rabbits,,Kaninchen,,,,кролики
crustaceans ,,Krustentiere,,,,ракообразные
pigeons,,Tauben,,,,голуби
frogs,,Frösche,,,,лягушки
conifer seeds,,Samen von Nadelbäumen,,,,семена хвойных деревьев
grasshoppers,,Grashüpfer,,,,кузнечики
larvae of wasps,,Wespenlarven,,,,личинки осы
bees,,Bienen,,,,пчёлы
aquatic invertebrates,,Wasserweichtiere,,,,водные беспозвоночные
crabs,,Krabben,,,,крабы
rats,,Ratten,,,,крысы
hares,,Hasen,,,,зайцы
pine nuts,,Pinienkerne,,,,кедровые орехи
spruce seeds,,Fichtensamen,,,,семена ели
fly larvae,,Fliegenlarven,,,,личинки мухи
rose hips,,Hagebutten,,,,шиповник
marine worms,,Meereswürmer,,,,морские черви
crops,,Feldfrüchte,,,,зерновые
snakes,,Schlangen,,,,змеи
lizards,,Eidechsen,,,,ящерицы
