name,image,image_female,image_male,image_silh,map
Accipiter gentilis,Accipiter_gentilis_image_1.jpg|Accipiter_gentilis_image_2.jpg|Accipiter_gentilis_image_3.jpg|Accipiter_gentilis_image_4.jpg|Accipiter_gentilis_image_5.jpg,,,Accipiter_gentilis_image_silh_1.jpg|Accipiter_gentilis_image_silh_2.jpg|Accipiter_gentilis_image_silh_3.jpg,
Accipiter nisus,,Accipiter_nisus_image_female_1.jpg|Accipiter_nisus_image_female_2.jpg|Accipiter_nisus_image_female_3.jpg|Accipiter_nisus_image_female_4.jpg|Accipiter_nisus_image_female_5.jpg,Accipiter_nisus_image_male_1.jpg|Accipiter_nisus_image_male_2.jpg|Accipiter_nisus_image_male_3.jpg|Accipiter_nisus_image_male_4.jpg|Accipiter_nisus_image_male_5.jpg,Accipiter_nisus_image_silh_1.jpg|Accipiter_nisus_image_silh_2.jpg|Accipiter_nisus_image_silh_3.jpg,
Acrocephalus palustris,Acrocephalus_palustris_image_1.jpg|Acrocephalus_palustris_image_2.jpg|Acrocephalus_palustris_image_3.jpg|Acrocephalus_palustris_image_4.jpg|Acrocephalus_palustris_image_5.jpg,,,,
Acrocephalus schoenobaenus,Acrocephalus_schoenobaenus_image_1.jpg|Acrocephalus_schoenobaenus_image_2.jpg|Acrocephalus_schoenobaenus_image_3.jpg|Acrocephalus_schoenobaenus_image_4.jpg|Acrocephalus_schoenobaenus_image_5.jpg,,,,
Acrocephalus scirpaceus,Acrocephalus_scirpaceus_image_1.jpg|Acrocephalus_scirpaceus_image_2.jpg|Acrocephalus_scirpaceus_image_3.jpg|Acrocephalus_scirpaceus_image_4.jpg|Acrocephalus_scirpaceus_image_5.jpg,,,,
Aegithalos caudatus,Aegithalos_caudatus_image_1.jpg|Aegithalos_caudatus_image_2.jpg|Aegithalos_caudatus_image_3.jpg|Aegithalos_caudatus_image_4.jpg|Aegithalos_caudatus_image_5.jpg,,,,
Alauda arvensis,Alauda_arvensis_image_1.jpg|Alauda_arvensis_image_2.jpg|Alauda_arvensis_image_3.jpg|Alauda_arvensis_image_4.jpg|Alauda_arvensis_image_5.jpg,,,,
Alcedo atthis,,Alcedo_atthis_image_female_1.jpg|Alcedo_atthis_image_female_2.jpg|Alcedo_atthis_image_female_3.jpg|Alcedo_atthis_image_female_4.jpg|Alcedo_atthis_image_female_5.jpg,Alcedo_atthis_image_male_1.jpg|Alcedo_atthis_image_male_2.jpg|Alcedo_atthis_image_male_3.jpg|Alcedo_atthis_image_male_4.jpg,,
Alopochen aegyptiaca,Alopochen_aegyptiaca_image_1.jpg|Alopochen_aegyptiaca_image_2.jpg|Alopochen_aegyptiaca_image_3.jpg|Alopochen_aegyptiaca_image_4.jpg|Alopochen_aegyptiaca_image_5.jpg,,,,
Anas crecca,,Anas_crecca_image_female_1.jpg|Anas_crecca_image_female_2.jpg|Anas_crecca_image_female_3.jpg|Anas_crecca_image_female_4.jpg|Anas_crecca_image_female_5.jpg,Anas_crecca_image_male_1.jpg|Anas_crecca_image_male_2.jpg|Anas_crecca_image_male_3.jpg|Anas_crecca_image_male_4.jpg|Anas_crecca_image_male_5.jpg,,
