name,size,weight,wspan,food:en,habitat:en,taxonomy,food:de,food:eo,food:es,food:fr,food:nl,food:ru,habitat:de,habitat:eo,habitat:es,habitat:fr,habitat:nl,habitat:ru
Turdus merula,23-29,80-100,34-38.5,"earthworms, insects, beetles, fruits","forests, parks, gardens",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Turdidae</div><div>Genus&nbsp;<i>Turdus</i></div>,"Regenwürmer, Insekten, Käfer, Früchte",,,,,"черви, насекомые , жуки, фрукты","Wälder, Parks, Gärten",,,,,"леса, парки, сады"
Parus major,13-15,18,24,"insects, caterpillars, berries, seeds","woodland, forests, gardens",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Paridae</div><div>Genus&nbsp;<i>Parus</i></div>,"Insekten, Raupen, Beeren, Samen",,,,,"насекомые , гусеницы, ягоды, семена","lichte Wälder, Wälder, Gärten",,,,,"редколесье, леса, сады"
Corvus corone,45-49,370-650,93-104,"insects, earthworms, grain, fruits, seeds, amphibians","cities, woodland, cliffs, farmland, heathland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Corvidae</div><div>Genus&nbsp;<i>Corvus</i></div>,"Insekten, Regenwürmer, Körner, Früchte, Samen, Amphibien",,,,,"насекомые , черви, зерно, фрукты, семена, земноводные","Städte, lichte Wälder, Klippen, Äcker, Heide",,,,,"города, редколесье, скалы, сельскохозяиственные угодья, пустоши"
Columba palumbus,38-43,480-550,75-80,"buds, leaves, berries, fruits, grain","cities, parks, gardens",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Columbiformes</div><div>Family Columbidae</div><div>Genus&nbsp;<i>Columba</i></div>,"Knospen, Blätter, Beeren, Früchte, Körner",,,,,"бутоны, листья, ягоды, фрукты, зерно","Städte, Parks, Gärten",,,,,"города, парки, сады"
Cyanistes caeruleus,12-12,11-11,18,"seeds, insects","woodland, parks, gardens, cities",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Paridae</div><div>Genus&nbsp;<i>Cyanistes</i></div>,"Samen, Insekten",,,,,"семена, насекомые ","lichte Wälder, Parks, Gärten, Städte",,,,,"редколесье, парки, сады, города"
Fringilla coelebs,14.5,18-29,24.5-28.5,"insects, seeds","woodland, farmland, grassland, heathland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Fringillidae</div><div>Genus&nbsp;<i>Fringilla</i></div>,"Insekten, Samen",,,,,"насекомые , семена","lichte Wälder, Äcker, Grasland, Heide, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, пустоши, городская среда, пригород"
Anas platyrhynchos,51- 62,750-1500,81-98,"seeds, acorns, berries, plants, insects, shellfish","farmland, grassland, marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Anas</i></div>,"Samen, Eicheln, Beeren, Pflanzen, Insekten, Schalentiere",,,,,"семена, жёлуди, ягоды, растения, насекомые , моллюски","Äcker, Grasland, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, городская среда, пригород"
Erithacus rubecula,14,14-21,20-22,"worms, seeds, fruits, insects","woodland, farmland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Muscicapidae</div><div>Genus&nbsp;<i>Erithacus</i></div>,"Würmer, Samen, Früchte, Insekten",,,,,"черви, семена, фрукты, насекомые ","lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
Pica pica,44-46,200-250,52-60,"omnivore, scavenger","woodland, farmland, grassland, heathland, upland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Corvidae</div><div>Genus&nbsp;<i>Pica</i></div>,"Allesfresser, Aasresser",,,,,"всеядные, падальщики","lichte Wälder, Äcker, Grasland, Heide, Hochland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, пустоши, возвышенности, городская среда, пригород"
Sturnus vulgaris,21,75-90,37-42,fruits,"woodland, farmland, grassland, marine, intertidal, upland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Sturnidae</div><div>Genus&nbsp;<i>Sturnus</i></div>,Früchte,,,,,фрукты,"lichte Wälder, Äcker, Grasland, Meer, Watt, Hochland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, возвышенности, городская среда, пригород"
