name,lang,Wikipedia,eBird,NABU,Nord University
Turdus merula,en,https://en.wikipedia.org/wiki/Turdus_merula,https://ebird.org/species/eurbla?siteLanguage=en,,https://quiz.natureid.no/bird/eBook.php?specieID=1848
Turdus merula,nl,https://nl.wikipedia.org/wiki/Turdus_merula,,,https://quiz.natureid.no/bird/eBook.php?specieID=1848
Turdus merula,de,https://de.wikipedia.org/wiki/Turdus_merula,https://ebird.org/species/eurbla?siteLanguage=de,https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/amsel/,https://quiz.natureid.no/bird/eBook.php?specieID=1848
Turdus merula,fr,https://fr.wikipedia.org/wiki/Turdus_merula,https://ebird.org/species/eurbla?siteLanguage=fr,,https://quiz.natureid.no/bird/eBook.php?specieID=1848
Turdus merula,es,https://es.wikipedia.org/wiki/Turdus_merula,https://ebird.org/species/eurbla?siteLanguage=es,,https://quiz.natureid.no/bird/eBook.php?specieID=1848
Turdus merula,eo,https://eo.wikipedia.org/wiki/Turdus_merula,,,https://quiz.natureid.no/bird/eBook.php?specieID=1848
Turdus merula,ru,https://ru.wikipedia.org/wiki/Turdus_merula,https://ebird.org/species/eurbla?siteLanguage=ru,,https://quiz.natureid.no/bird/eBook.php?specieID=1848
Parus major,en,https://en.wikipedia.org/wiki/Parus_major,https://ebird.org/species/gretit1?siteLanguage=en,,https://quiz.natureid.no/bird/eBook.php?specieID=1398
Parus major,nl,https://nl.wikipedia.org/wiki/Parus_major,,,https://quiz.natureid.no/bird/eBook.php?specieID=1398
Parus major,de,https://de.wikipedia.org/wiki/Parus_major,https://ebird.org/species/gretit1?siteLanguage=de,https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/kohlmeise/,https://quiz.natureid.no/bird/eBook.php?specieID=1398
Parus major,fr,https://fr.wikipedia.org/wiki/Parus_major,https://ebird.org/species/gretit1?siteLanguage=fr,,https://quiz.natureid.no/bird/eBook.php?specieID=1398
