name,links:de,links:en,links:eo,links:es,links:fr,links:nl,links:ru
Accipiter gentilis,"<a href=""https://de.wikipedia.org/wiki/Accipiter_gentilis"">Wikipedia</a> • <a href=""https://ebird.org/species/norgos?siteLanguage=de"">eBird</a> • <a href=""https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/habicht/"">NABU</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1333"">Nord University</a>","<a href=""https://en.wikipedia.org/wiki/Accipiter_gentilis"">Wikipedia</a> • <a href=""https://ebird.org/species/norgos?siteLanguage=en"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1333"">Nord University</a>","<a href=""https://eo.wikipedia.org/wiki/Accipiter_gentilis"">Wikipedia</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1333"">Nord University</a>","<a href=""https://es.wikipedia.org/wiki/Accipiter_gentilis"">Wikipedia</a> • <a href=""https://ebird.org/species/norgos?siteLanguage=es"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1333"">Nord University</a>","<a href=""https://fr.wikipedia.org/wiki/Accipiter_gentilis"">Wikipedia</a> • <a href=""https://ebird.org/species/norgos?siteLanguage=fr"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1333"">Nord University</a>","<a href=""https://nl.wikipedia.org/wiki/Accipiter_gentilis"">Wikipedia</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1333"">Nord University</a>","<a href=""https://ru.wikipedia.org/wiki/Accipiter_gentilis"">Wikipedia</a> • <a href=""https://ebird.org/species/norgos?siteLanguage=ru"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1333"">Nord University</a>"
Accipiter nisus,"<a href=""https://de.wikipedia.org/wiki/Accipiter_nisus"">Wikipedia</a> • <a href=""https://ebird.org/species/eurspa1?siteLanguage=de"">eBird</a> • <a href=""https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/sperber/"">NABU</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1750"">Nord University</a>","<a href=""https://en.wikipedia.org/wiki/Accipiter_nisus"">Wikipedia</a> • <a href=""https://ebird.org/species/eurspa1?siteLanguage=en"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1750"">Nord University</a>","<a href=""https://eo.wikipedia.org/wiki/Accipiter_nisus"">Wikipedia</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1750"">Nord University</a>","<a href=""https://es.wikipedia.org/wiki/Accipiter_nisus"">Wikipedia</a> • <a href=""https://ebird.org/species/eurspa1?siteLanguage=es"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1750"">Nord University</a>","<a href=""https://fr.wikipedia.org/wiki/Accipiter_nisus"">Wikipedia</a> • <a href=""https://ebird.org/species/eurspa1?siteLanguage=fr"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1750"">Nord University</a>","<a href=""https://nl.wikipedia.org/wiki/Accipiter_nisus"">Wikipedia</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1750"">Nord University</a>","<a href=""https://ru.wikipedia.org/wiki/Accipiter_nisus"">Wikipedia</a> • <a href=""https://ebird.org/species/eurspa1?siteLanguage=ru"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1750"">Nord University</a>"
Acrocephalus arundinaceus,"<a href=""https://de.wikipedia.org/wiki/Acrocephalus_arundinaceus"">Wikipedia</a> • <a href=""https://ebird.org/species/grrwar1?siteLanguage=de"">eBird</a> • <a href=""https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/drosselrohrsaenger/"">NABU</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1899"">Nord University</a>","<a href=""https://en.wikipedia.org/wiki/Acrocephalus_arundinaceus"">Wikipedia</a> • <a href=""https://ebird.org/species/grrwar1?siteLanguage=en"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1899"">Nord University</a>","<a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1899"">Nord University</a>","<a href=""https://es.wikipedia.org/wiki/Acrocephalus_arundinaceus"">Wikipedia</a> • <a href=""https://ebird.org/species/grrwar1?siteLanguage=es"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1899"">Nord University</a>","<a href=""https://fr.wikipedia.org/wiki/Acrocephalus_arundinaceus"">Wikipedia</a> • <a href=""https://ebird.org/species/grrwar1?siteLanguage=fr"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1899"">Nord University</a>","<a href=""https://nl.wikipedia.org/wiki/Acrocephalus_arundinaceus"">Wikipedia</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1899"">Nord University</a>","<a href=""https://ru.wikipedia.org/wiki/Acrocephalus_arundinaceus"">Wikipedia</a> • <a href=""https://ebird.org/species/grrwar1?siteLanguage=ru"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1899"">Nord University</a>"
Acrocephalus palustris,"<a href=""https://de.wikipedia.org/wiki/Acrocephalus_palustris"">Wikipedia</a> • <a href=""https://ebird.org/species/marwar3?siteLanguage=de"">eBird</a> • <a href=""https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/sumpfrohrsaenger/"">NABU</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1519"">Nord University</a>","<a href=""https://en.wikipedia.org/wiki/Acrocephalus_palustris"">Wikipedia</a> • <a href=""https://ebird.org/species/marwar3?siteLanguage=en"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1519"">Nord University</a>","<a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1519"">Nord University</a>","<a href=""https://es.wikipedia.org/wiki/Acrocephalus_palustris"">Wikipedia</a> • <a href=""https://ebird.org/species/marwar3?siteLanguage=es"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1519"">Nord University</a>","<a href=""https://fr.wikipedia.org/wiki/Acrocephalus_palustris"">Wikipedia</a> • <a href=""https://ebird.org/species/marwar3?siteLanguage=fr"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1519"">Nord University</a>","<a href=""https://nl.wikipedia.org/wiki/Acrocephalus_palustris"">Wikipedia</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1519"">Nord University</a>","<a href=""https://ru.wikipedia.org/wiki/Acrocephalus_palustris"">Wikipedia</a> • <a href=""https://ebird.org/species/marwar3?siteLanguage=ru"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1519"">Nord University</a>"
Acrocephalus schoenobaenus,"<a href=""https://de.wikipedia.org/wiki/Acrocephalus_schoenobaenus"">Wikipedia</a> • <a href=""https://ebird.org/species/sedwar1?siteLanguage=de"">eBird</a> • <a href=""https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/schilfrohrsaenger/"">NABU</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1700"">Nord University</a>","<a href=""https://en.wikipedia.org/wiki/Acrocephalus_schoenobaenus"">Wikipedia</a> • <a href=""https://ebird.org/species/sedwar1?siteLanguage=en"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1700"">Nord University</a>","<a href=""https://eo.wikipedia.org/wiki/Acrocephalus_schoenobaenus"">Wikipedia</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1700"">Nord University</a>","<a href=""https://es.wikipedia.org/wiki/Acrocephalus_schoenobaenus"">Wikipedia</a> • <a href=""https://ebird.org/species/sedwar1?siteLanguage=es"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1700"">Nord University</a>","<a href=""https://fr.wikipedia.org/wiki/Acrocephalus_schoenobaenus"">Wikipedia</a> • <a href=""https://ebird.org/species/sedwar1?siteLanguage=fr"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1700"">Nord University</a>","<a href=""https://nl.wikipedia.org/wiki/Acrocephalus_schoenobaenus"">Wikipedia</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1700"">Nord University</a>","<a href=""https://ru.wikipedia.org/wiki/Acrocephalus_schoenobaenus"">Wikipedia</a> • <a href=""https://ebird.org/species/sedwar1?siteLanguage=ru"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1700"">Nord University</a>"
Acrocephalus scirpaceus,"<a href=""https://de.wikipedia.org/wiki/Acrocephalus_scirpaceus"">Wikipedia</a> • <a href=""https://ebird.org/species/eurwar1?siteLanguage=de"">eBird</a> • <a href=""https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/teichrohrsaenger/"">NABU</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1653"">Nord University</a>","<a href=""https://en.wikipedia.org/wiki/Acrocephalus_scirpaceus"">Wikipedia</a> • <a href=""https://ebird.org/species/eurwar1?siteLanguage=en"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1653"">Nord University</a>","<a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1653"">Nord University</a>","<a href=""https://es.wikipedia.org/wiki/Acrocephalus_scirpaceus"">Wikipedia</a> • <a href=""https://ebird.org/species/eurwar1?siteLanguage=es"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1653"">Nord University</a>","<a href=""https://fr.wikipedia.org/wiki/Acrocephalus_scirpaceus"">Wikipedia</a> • <a href=""https://ebird.org/species/eurwar1?siteLanguage=fr"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1653"">Nord University</a>","<a href=""https://nl.wikipedia.org/wiki/Acrocephalus_scirpaceus"">Wikipedia</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1653"">Nord University</a>","<a href=""https://ru.wikipedia.org/wiki/Acrocephalus_scirpaceus"">Wikipedia</a> • <a href=""https://ebird.org/species/eurwar1?siteLanguage=ru"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1653"">Nord University</a>"
Actitis hypoleucos,"<a href=""https://de.wikipedia.org/wiki/Actitis_hypoleucos"">Wikipedia</a> • <a href=""https://ebird.org/species/comsan?siteLanguage=de"">eBird</a> • <a href=""https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/flussuferlaeufer/"">NABU</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1790"">Nord University</a>","<a href=""https://en.wikipedia.org/wiki/Actitis_hypoleucos"">Wikipedia</a> • <a href=""https://ebird.org/species/comsan?siteLanguage=en"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1790"">Nord University</a>","<a href=""https://eo.wikipedia.org/wiki/Actitis_hypoleucos"">Wikipedia</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1790"">Nord University</a>","<a href=""https://es.wikipedia.org/wiki/Actitis_hypoleucos"">Wikipedia</a> • <a href=""https://ebird.org/species/comsan?siteLanguage=es"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1790"">Nord University</a>","<a href=""https://fr.wikipedia.org/wiki/Actitis_hypoleucos"">Wikipedia</a> • <a href=""https://ebird.org/species/comsan?siteLanguage=fr"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1790"">Nord University</a>","<a href=""https://nl.wikipedia.org/wiki/Actitis_hypoleucos"">Wikipedia</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1790"">Nord University</a>","<a href=""https://ru.wikipedia.org/wiki/Actitis_hypoleucos"">Wikipedia</a> • <a href=""https://ebird.org/species/comsan?siteLanguage=ru"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1790"">Nord University</a>"
Aegithalos caudatus,"<a href=""https://de.wikipedia.org/wiki/Aegithalos_caudatus"">Wikipedia</a> • <a href=""https://ebird.org/species/lottit1?siteLanguage=de"">eBird</a> • <a href=""https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/schwanzmeise/"">NABU</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1776"">Nord University</a>","<a href=""https://en.wikipedia.org/wiki/Aegithalos_caudatus"">Wikipedia</a> • <a href=""https://ebird.org/species/lottit1?siteLanguage=en"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1776"">Nord University</a>","<a href=""https://eo.wikipedia.org/wiki/Aegithalos_caudatus"">Wikipedia</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1776"">Nord University</a>","<a href=""https://es.wikipedia.org/wiki/Aegithalos_caudatus"">Wikipedia</a> • <a href=""https://ebird.org/species/lottit1?siteLanguage=es"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1776"">Nord University</a>","<a href=""https://fr.wikipedia.org/wiki/Aegithalos_caudatus"">Wikipedia</a> • <a href=""https://ebird.org/species/lottit1?siteLanguage=fr"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1776"">Nord University</a>","<a href=""https://nl.wikipedia.org/wiki/Aegithalos_caudatus"">Wikipedia</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1776"">Nord University</a>","<a href=""https://ru.wikipedia.org/wiki/Aegithalos_caudatus"">Wikipedia</a> • <a href=""https://ebird.org/species/lottit1?siteLanguage=ru"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1776"">Nord University</a>"
Aix galericulata,"<a href=""https://de.wikipedia.org/wiki/Aix_galericulata"">Wikipedia</a> • <a href=""https://ebird.org/species/manduc?siteLanguage=de"">eBird</a> • <a href=""https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/mandarinente/"">NABU</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1480"">Nord University</a>","<a href=""https://en.wikipedia.org/wiki/Aix_galericulata"">Wikipedia</a> • <a href=""https://ebird.org/species/manduc?siteLanguage=en"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1480"">Nord University</a>","<a href=""https://eo.wikipedia.org/wiki/Aix_galericulata"">Wikipedia</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1480"">Nord University</a>","<a href=""https://es.wikipedia.org/wiki/Aix_galericulata"">Wikipedia</a> • <a href=""https://ebird.org/species/manduc?siteLanguage=es"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1480"">Nord University</a>","<a href=""https://fr.wikipedia.org/wiki/Aix_galericulata"">Wikipedia</a> • <a href=""https://ebird.org/species/manduc?siteLanguage=fr"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1480"">Nord University</a>","<a href=""https://nl.wikipedia.org/wiki/Aix_galericulata"">Wikipedia</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1480"">Nord University</a>","<a href=""https://ru.wikipedia.org/wiki/Aix_galericulata"">Wikipedia</a> • <a href=""https://ebird.org/species/manduc?siteLanguage=ru"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1480"">Nord University</a>"
Alauda arvensis,"<a href=""https://de.wikipedia.org/wiki/Alauda_arvensis"">Wikipedia</a> • <a href=""https://ebird.org/species/skylar?siteLanguage=de"">eBird</a> • <a href=""https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/feldlerche/"">NABU</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1666"">Nord University</a>","<a href=""https://en.wikipedia.org/wiki/Alauda_arvensis"">Wikipedia</a> • <a href=""https://ebird.org/species/skylar?siteLanguage=en"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1666"">Nord University</a>","<a href=""https://eo.wikipedia.org/wiki/Alauda_arvensis"">Wikipedia</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1666"">Nord University</a>","<a href=""https://es.wikipedia.org/wiki/Alauda_arvensis"">Wikipedia</a> • <a href=""https://ebird.org/species/skylar?siteLanguage=es"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1666"">Nord University</a>","<a href=""https://fr.wikipedia.org/wiki/Alauda_arvensis"">Wikipedia</a> • <a href=""https://ebird.org/species/skylar?siteLanguage=fr"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1666"">Nord University</a>","<a href=""https://nl.wikipedia.org/wiki/Alauda_arvensis"">Wikipedia</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1666"">Nord University</a>","<a href=""https://ru.wikipedia.org/wiki/Alauda_arvensis"">Wikipedia</a> • <a href=""https://ebird.org/species/skylar?siteLanguage=ru"">eBird</a> • <a href=""https://quiz.natureid.no/bird/eBook.php?specieID=1666"">Nord University</a>"
