guid,name,freq,ger_pop,tags
K_3%/iI+Ga,Turdus merula,10,,Animalia::Chordata::Aves::Passeriformes::Turdidae::Turdus
N1mkYP`a&[,Parus major,20,,Animalia::Chordata::Aves::Passeriformes::Paridae::Parus
l)!O7k[Nfc,Corvus corone,30,,Animalia::Chordata::Aves::Passeriformes::Corvidae::Corvus
oxjgIPR]Q(,Columba palumbus,40,,Animalia::Chordata::Aves::Columbiformes::Columbidae::Columba
LE!J`}0rnb,Cyanistes caeruleus,50,,Animalia::Chordata::Aves::Passeriformes::Paridae::Cyanistes
pxN/qEMzD,Fringilla coelebs,60,,Animalia::Chordata::Aves::Passeriformes::Fringillidae::Fringilla
BvMEMR_{.F,Anas platyrhynchos,70,,Animalia::Chordata::Aves::Anseriformes::Anatidae::Anas
eM.V?XQfhR,Erithacus rubecula,75,,Animalia::Chordata::Aves::Passeriformes::Muscicapidae::Erithacus
p&gd;1~l^i,Pica pica,80,,Animalia::Chordata::Aves::Passeriformes::Corvidae::Pica
d5^j~NoxF=,Sturnus vulgaris,90,,Animalia::Chordata::Aves::Passeriformes::Sturnidae::Sturnus
kMj{lOEo8_,Dendrocopos major,100,,Animalia::Chordata::Aves::Piciformes::Picidae::Dendrocopos
G-j08?2}>m,Passer domesticus,110,,Animalia::Chordata::Aves::Passeriformes::Passeridae::Passer
hzeihTgPqz,Buteo buteo,120,,Animalia::Chordata::Aves::Accipitriformes::Accipitridae::Buteo
l>rh7|*-o1,Ardea cinerea,130,,Animalia::Chordata::Aves::Pelecaniformes::Ardeidae::Ardea
J|Y>xlP^^v,Phylloscopus collybita,140,,Animalia::Chordata::Aves::Passeriformes::Phylloscopidae::Phylloscopus
N6h@_GpmWA,Troglodytes troglodytes,150,,Animalia::Chordata::Aves::Passeriformes::Troglodytidae::Troglodytes
N&#xb5*yK0,Garrulus glandarius,160,,Animalia::Chordata::Aves::Passeriformes::Corvidae::Garrulus
YEb@%UMy},Phalacrocorax carbo,170,,Animalia::Chordata::Aves::Suliformes::Phalacrocoracidae::Phalacrocorax
kBb|>+M)%0,Sitta europaea,180,,Animalia::Chordata::Aves::Passeriformes::Sittidae::Sitta
CFSh]9LZ5W,Fulica atra,185,,Animalia::Chordata::Aves::Gruiformes::Rallidae::Fulica
+P:y8`3SF,Chloris chloris,190,,Animalia::Chordata::Aves::Passeriformes::Fringillidae::Chloris
iFP(>VEOXT,Motacilla alba,200,,Animalia::Chordata::Aves::Passeriformes::Motacillidae::Motacilla
KUw=[3MJ]s,Sylvia atricapilla,210,,Animalia::Chordata::Aves::Passeriformes::Sylviidae::Sylvia
JkM}iwGds#,Cygnus olor,220,,Animalia::Chordata::Aves::Anseriformes::Anatidae::Cygnus
ifpiK^`cuN,Anser anser,230,,Animalia::Chordata::Aves::Anseriformes::Anatidae::Anser
L:00I%HA}/,Carduelis carduelis,240,,Animalia::Chordata::Aves::Passeriformes::Fringillidae::Carduelis
9<RlkQYjV,Falco tinnunculus,250,,Animalia::Chordata::Aves::Falconiformes::Falconidae::Falco
c}jf1w$`zf,Chroicocephalus ridibundus,260,,Animalia::Chordata::Aves::Charadriiformes::Laridae::Chroicocephalus
hgr-^9d]9.,Hirundo rustica,270,,Animalia::Chordata::Aves::Passeriformes::Hirundinidae::Hirundo
JYER@pF|%0,Aythya fuligula,280,,Animalia::Chordata::Aves::Anseriformes::Anatidae::Aythya
OLe.Lr*i.f,Emberiza citrinella,290,,Animalia::Chordata::Aves::Passeriformes::Emberizidae::Emberiza
