name,name:com,name:en,name:nl,name:de,name:fr,name:es,name:eo,name:ru
Phalacrocorax carbo,Great Cormorant,Great Cormorant,aalscholver,Kormoran,grand cormoran,cormorán grande,granda kormorano,большой бакл́ан
Luscinia svecica,Bluethroat,Bluethroat,blauwborst,Blaukehlchen,gorgebleue à miroir,pechiazul,blugorĝulo,вара́кушка
Circus cyaneus,Hen Harrier,Hen Harrier,blauwe kiekendief,Kornweihe,busard Saint-Martin,aguilucho pálido,blua cirkuo,полево́й лунь
Ardea cinerea,Gray Heron,Gray Heron,blauwe reiger,Graureiher,héron cendré,garza real,griza ardeo,се́рая ца́пля
Hirundo rustica,Barn Swallow,Barn Swallow,boerenzwaluw,Rauchschwalbe,hirondelle rustique,golondrina común,kamphirundo,дереве́нская ла́сточка
Corvus cornix,Hooded Crow,Hooded Crow,bonte kraai,Nebelkrähe,corneille mantelée,corneja cenicienta,griza korniko,се́рая воро́на
Sitta europaea,Eurasian Nuthatch,Eurasian Nuthatch,boomklever,Kleiber,sittelle torchepot,trepador azul,Eŭropa sito,обыкнове́нный по́ползень
Certhia brachydactyla,Short-toed Treecreeper,Short-toed Treecreeper,boomkruiper,Gartenbaumläufer,grimpereau des jardins,agateador común,mallongfingra certio,короткопа́лая пищу́ха
Falco subbuteo,Eurasian Hobby,Eurasian Hobby,boomvalk,Baumfalke,hobereau,alcotán europeo,alaŭdfalko,чегло́к
Strix aluco,Tawny Owl,Tawny Owl,bosuil,Waldkauz,chouette hulotte,cárabo común,arbarstrigo,се́рая нея́сыть
Branta leucopsis,Barnacle Goose,Barnacle Goose,brandgans,Weißwangengans,bernache nonnette,barnacla cariblanca,blankvanga ansero,белощёкая каза́рка
Circus aeruginosus,Eurasian Marsh-Harrier,Eurasian Marsh-Harrier,bruine kiekendief,Rohrweihe,busard des roseaux,aguilucho lagunero occidental,marĉa cirkuo,боло́тный лунь
Buteo buteo,Common Buzzard,Common Buzzard,buizerd,Mäusebussard,buse variable,busardo ratonero,komuna buteo,обыкнове́нный каню́к
Tachybaptus ruficollis,Little Grebe,Little Grebe,dodaars,Zwergtaucher,grèbe castagneux,zampullín común,malgranda grebo,ма́лая пога́нка
Pica pica,Eurasian Magpie,Eurasian Magpie,ekster,Elster,pie bavarde,urraca común,Eŭropa pigo,соро́ка
Phasianus colchicus,Ring-necked Pheasant,Ring-necked Pheasant,fazant,Fasan,faisan de Colchide,faisán común,komuna fazano,обыкнове́нный фаза́н
Podiceps cristatus,Great Crested Grebe,Great Crested Grebe,fuut,Haubentaucher,grèbe huppé,somormujo lavanco,tufgrebo,больша́я пога́нка
Garrulus glandarius,Eurasian Jay,Eurasian Jay,gaai,Eichelhäher,geai des chênes,arrendajo euroasiático,Eŭropazia garolo,со́йка
Podiceps nigricollis,Eared Grebe,Eared Grebe,geoorde fuut,Schwarzhalstaucher,grèbe à cou noir,zampullín cuellinegro,nigrakola grebo,черноше́йная пога́нка
Anser anser,Graylag Goose,Graylag Goose,grauwe gans,Graugans,oie cendrée,ánsar común,griza ansero,се́рый гусь
Picus viridis,Eurasian Green Woodpecker,Eurasian Green Woodpecker,groene specht,Grünspecht,pic vert,carpintero verde,verda pego,зелёный дя́тел
Dendrocopos major,Great Spotted Woodpecker,Great Spotted Woodpecker,grote bonte specht,Buntspecht,pic épeiche,pico picapinos,granda buntpego,большо́й пёстрый дя́тел
Branta canadensis,Canada Goose,Canada Goose,grote Canadese gans,Kanadagans,bernache du Canada,barnacla canadiense,Kanada ansero,кана́дская каза́рка
Turdus viscivorus,Mistle Thrush,Mistle Thrush,grote lijster,Misteldrossel,grive draine,zorzal charlo,viskoturdo,деря́ба
Larus marinus,Great Black-backed Gull,Great Black-backed Gull,grote mantelmeeuw,Mantelmöwe,goéland marin,gavión atlántico,nigramantela mevo,морска́я ча́йка
Ardea alba,Great Egret,Great Egret,grote zilverreiger,Silberreiher,grande aigrette,garceta grande,granda egretardeo,больша́я бе́лая ца́пля
Limosa limosa,Black-tailed Godwit,Black-tailed Godwit,grutto,Uferschnepfe,barge à queue noire,aguja colinegra,nigravosta limozo,большо́й верете́нник
Accipiter gentilis,Northern Goshawk,Northern Goshawk,havik,Habicht,autour des palombes,azor común,akcipitro,я́стреб-тетеревя́тник
Prunella modularis,Dunnock,Dunnock,heggenmus,Heckenbraunelle,accenteur mouchet,acentor común,pronelo,лесна́я завиру́шка
Columba oenas,Stock Dove,Stock Dove,holenduif,Hohltaube,pigeon colombin,paloma zurita,trukolombo,кли́нтух
Columba palumbus,Common Wood-Pigeon,Common Wood-Pigeon,houtduif,Ringeltaube,pigeon ramier,paloma torcaz,palumbo,вя́хирь
Passer domesticus,House Sparrow,House Sparrow,huismus,Haussperling,moineau domestique,gorrión común,dompasero,домо́вый воробе́й
